currency,value,rated_at
ARS,5.57,2012-01-01
BRL,2.41,2012-01-01
CLP,672.96,2012-01-01
COP,2509.06,2012-01-01
CRC,652.04,2012-01-01
DOP,49.96,2012-01-01
EUR,1.0,2012-01-01
MXN,18.06,2012-01-01
PEN,3.49,2012-01-01
PYG,5718.57,2012-01-01
USD,1.29,2012-01-01
UYU,25.7,2012-01-01
VEF,5.56,2012-01-01
ARS,5.56,2012-01-02
BRL,2.42,2012-01-02
CLP,670.82,2012-01-02
COP,2499.13,2012-01-02
CRC,653.08,2012-01-02
DOP,49.88,2012-01-02
EUR,1.0,2012-01-02
MXN,18.01,2012-01-02
PEN,3.49,2012-01-02
PYG,5710.94,2012-01-02
USD,1.29,2012-01-02
UYU,25.66,2012-01-02
VEF,5.55,2012-01-02
ARS,5.62,2012-01-03
BRL,2.4,2012-01-03
CLP,672.77,2012-01-03
COP,2503.77,2012-01-03
CRC,659.23,2012-01-03
DOP,50.26,2012-01-03
EUR,1.0,2012-01-03
MXN,17.92,2012-01-03
PEN,3.52,2012-01-03
PYG,5803.03,2012-01-03
USD,1.3,2012-01-03
UYU,25.9,2012-01-03
VEF,5.6,2012-01-03
ARS,5.57,2012-01-04
BRL,2.36,2012-01-04
CLP,662.49,2012-01-04
COP,2449.72,2012-01-04
CRC,658.22,2012-01-04
DOP,50.19,2012-01-04
EUR,1.0,2012-01-04
MXN,17.75,2012-01-04
PEN,3.49,2012-01-04
PYG,5796.92,2012-01-04
USD,1.29,2012-01-04
UYU,25.3,2012-01-04
VEF,5.56,2012-01-04
ARS,5.51,2012-01-05
BRL,2.35,2012-01-05
CLP,653.83,2012-01-05
COP,2409.53,2012-01-05
CRC,654.46,2012-01-05
DOP,49.59,2012-01-05
EUR,1.0,2012-01-05
MXN,17.57,2012-01-05
PEN,3.45,2012-01-05
PYG,5775.25,2012-01-05
USD,1.28,2012-01-05
UYU,25.07,2012-01-05
VEF,5.49,2012-01-05
ARS,5.49,2012-01-06
BRL,2.35,2012-01-06
CLP,648.9,2012-01-06
COP,2394.08,2012-01-06
CRC,652.65,2012-01-06
DOP,49.42,2012-01-06
EUR,1.0,2012-01-06
MXN,17.47,2012-01-06
PEN,3.43,2012-01-06
PYG,5760.63,2012-01-06
USD,1.27,2012-01-06
UYU,24.89,2012-01-06
VEF,5.47,2012-01-06
ARS,5.5,2012-01-07
BRL,2.35,2012-01-07
CLP,649.84,2012-01-07
COP,2397.56,2012-01-07
CRC,653.6,2012-01-07
DOP,49.49,2012-01-07
EUR,1.0,2012-01-07
MXN,17.5,2012-01-07
PEN,3.44,2012-01-07
PYG,5768.99,2012-01-07
USD,1.27,2012-01-07
UYU,24.93,2012-01-07
VEF,5.48,2012-01-07
ARS,5.5,2012-01-08
BRL,2.35,2012-01-08
CLP,649.84,2012-01-08
COP,2397.56,2012-01-08
CRC,653.6,2012-01-08
DOP,49.49,2012-01-08
EUR,1.0,2012-01-08
MXN,17.5,2012-01-08
PEN,3.44,2012-01-08
PYG,5768.99,2012-01-08
USD,1.27,2012-01-08
UYU,24.93,2012-01-08
VEF,5.48,2012-01-08
ARS,5.51,2012-01-09
BRL,2.35,2012-01-09
CLP,654.88,2012-01-09
COP,2393.89,2012-01-09
CRC,651.85,2012-01-09
DOP,49.6,2012-01-09
EUR,1.0,2012-01-09
MXN,17.51,2012-01-09
PEN,3.44,2012-01-09
PYG,5808.95,2012-01-09
USD,1.28,2012-01-09
UYU,25.0,2012-01-09
VEF,5.47,2012-01-09
ARS,5.51,2012-01-10
BRL,2.3,2012-01-10
CLP,650.79,2012-01-10
COP,2393.66,2012-01-10
CRC,650.92,2012-01-10
DOP,49.73,2012-01-10
EUR,1.0,2012-01-10
MXN,17.38,2012-01-10
PEN,3.44,2012-01-10
PYG,5832.53,2012-01-10
USD,1.28,2012-01-10
UYU,25.05,2012-01-10
VEF,5.49,2012-01-10
ARS,5.48,2012-01-11
BRL,2.29,2012-01-11
CLP,644.1,2012-01-11
COP,2362.74,2012-01-11
CRC,646.13,2012-01-11
DOP,49.34,2012-01-11
EUR,1.0,2012-01-11
MXN,17.33,2012-01-11
PEN,3.42,2012-01-11
PYG,5782.31,2012-01-11
USD,1.27,2012-01-11
UYU,24.74,2012-01-11
VEF,5.45,2012-01-11
ARS,5.52,2012-01-12
BRL,2.29,2012-01-12
CLP,641.66,2012-01-12
COP,2360.34,2012-01-12
CRC,651.85,2012-01-12
DOP,49.7,2012-01-12
EUR,1.0,2012-01-12
MXN,17.39,2012-01-12
PEN,3.45,2012-01-12
PYG,5883.15,2012-01-12
USD,1.28,2012-01-12
UYU,24.85,2012-01-12
VEF,5.5,2012-01-12
ARS,5.48,2012-01-13
BRL,2.27,2012-01-13
CLP,638.5,2012-01-13
COP,2335.48,2012-01-13
CRC,641.08,2012-01-13
DOP,49.41,2012-01-13
EUR,1.0,2012-01-13
MXN,17.24,2012-01-13
PEN,3.42,2012-01-13
PYG,5866.01,2012-01-13
USD,1.27,2012-01-13
UYU,24.7,2012-01-13
VEF,5.45,2012-01-13
ARS,5.49,2012-01-14
BRL,2.27,2012-01-14
CLP,639.92,2012-01-14
COP,2340.65,2012-01-14
CRC,642.5,2012-01-14
DOP,49.52,2012-01-14
EUR,1.0,2012-01-14
MXN,17.27,2012-01-14
PEN,3.43,2012-01-14
PYG,5878.98,2012-01-14
USD,1.27,2012-01-14
UYU,24.75,2012-01-14
VEF,5.47,2012-01-14
ARS,5.49,2012-01-15
BRL,2.27,2012-01-15
CLP,639.92,2012-01-15
COP,2340.65,2012-01-15
CRC,642.5,2012-01-15
DOP,49.52,2012-01-15
EUR,1.0,2012-01-15
MXN,17.27,2012-01-15
PEN,3.43,2012-01-15
PYG,5878.98,2012-01-15
USD,1.27,2012-01-15
UYU,24.75,2012-01-15
VEF,5.47,2012-01-15
ARS,5.46,2012-01-16
BRL,2.26,2012-01-16
CLP,635.92,2012-01-16
COP,2329.0,2012-01-16
CRC,638.67,2012-01-16
DOP,49.02,2012-01-16
EUR,1.0,2012-01-16
MXN,17.17,2012-01-16
PEN,3.41,2012-01-16
PYG,5838.82,2012-01-16
USD,1.27,2012-01-16
UYU,24.64,2012-01-16
VEF,5.44,2012-01-16
ARS,5.5,2012-01-17
BRL,2.26,2012-01-17
CLP,633.34,2012-01-17
COP,2342.06,2012-01-17
CRC,642.63,2012-01-17
DOP,49.45,2012-01-17
EUR,1.0,2012-01-17
MXN,17.15,2012-01-17
PEN,3.43,2012-01-17
PYG,5877.62,2012-01-17
USD,1.27,2012-01-17
UYU,24.85,2012-01-17
VEF,5.47,2012-01-17
ARS,5.54,2012-01-18
BRL,2.28,2012-01-18
CLP,638.42,2012-01-18
COP,2349.59,2012-01-18
CRC,648.02,2012-01-18
DOP,49.89,2012-01-18
EUR,1.0,2012-01-18
MXN,17.13,2012-01-18
PEN,3.46,2012-01-18
PYG,5955.67,2012-01-18
USD,1.28,2012-01-18
UYU,25.0,2012-01-18
VEF,5.51,2012-01-18
ARS,5.59,2012-01-19
BRL,2.28,2012-01-19
CLP,636.03,2012-01-19
COP,2357.55,2012-01-19
CRC,655.98,2012-01-19
DOP,50.23,2012-01-19
EUR,1.0,2012-01-19
MXN,17.15,2012-01-19
PEN,3.49,2012-01-19
PYG,5977.08,2012-01-19
USD,1.29,2012-01-19
UYU,25.14,2012-01-19
VEF,5.56,2012-01-19
ARS,5.59,2012-01-20
BRL,2.28,2012-01-20
CLP,636.47,2012-01-20
COP,2363.66,2012-01-20
CRC,655.91,2012-01-20
DOP,50.32,2012-01-20
EUR,1.0,2012-01-20
MXN,17.12,2012-01-20
PEN,3.48,2012-01-20
PYG,6005.59,2012-01-20
USD,1.29,2012-01-20
UYU,25.19,2012-01-20
VEF,5.55,2012-01-20
ARS,5.58,2012-01-21
BRL,2.28,2012-01-21
CLP,635.82,2012-01-21
COP,2361.25,2012-01-21
CRC,655.25,2012-01-21
DOP,50.27,2012-01-21
EUR,1.0,2012-01-21
MXN,17.09,2012-01-21
PEN,3.48,2012-01-21
PYG,5999.48,2012-01-21
USD,1.29,2012-01-21
UYU,25.16,2012-01-21
VEF,5.55,2012-01-21
ARS,5.58,2012-01-22
BRL,2.28,2012-01-22
CLP,635.82,2012-01-22
COP,2361.25,2012-01-22
CRC,655.25,2012-01-22
DOP,50.27,2012-01-22
EUR,1.0,2012-01-22
MXN,17.09,2012-01-22
PEN,3.48,2012-01-22
PYG,5999.48,2012-01-22
USD,1.29,2012-01-22
UYU,25.16,2012-01-22
VEF,5.55,2012-01-22
ARS,5.63,2012-01-23
BRL,2.28,2012-01-23
CLP,639.19,2012-01-23
COP,2369.93,2012-01-23
CRC,660.66,2012-01-23
DOP,50.62,2012-01-23
EUR,1.0,2012-01-23
MXN,17.11,2012-01-23
PEN,3.51,2012-01-23
PYG,6068.16,2012-01-23
USD,1.3,2012-01-23
UYU,25.41,2012-01-23
VEF,5.59,2012-01-23
ARS,5.64,2012-01-24
BRL,2.29,2012-01-24
CLP,639.25,2012-01-24
COP,2361.21,2012-01-24
CRC,661.03,2012-01-24
DOP,50.6,2012-01-24
EUR,1.0,2012-01-24
MXN,17.16,2012-01-24
PEN,3.5,2012-01-24
PYG,6055.19,2012-01-24
USD,1.3,2012-01-24
UYU,25.37,2012-01-24
VEF,5.59,2012-01-24
ARS,5.65,2012-01-25
BRL,2.3,2012-01-25
CLP,643.65,2012-01-25
COP,2367.38,2012-01-25
CRC,668.27,2012-01-25
DOP,50.51,2012-01-25
EUR,1.0,2012-01-25
MXN,17.12,2012-01-25
PEN,3.51,2012-01-25
PYG,6100.22,2012-01-25
USD,1.3,2012-01-25
UYU,25.58,2012-01-25
VEF,5.6,2012-01-25
ARS,5.69,2012-01-26
BRL,2.28,2012-01-26
CLP,641.98,2012-01-26
COP,2372.85,2012-01-26
CRC,670.31,2012-01-26
DOP,50.82,2012-01-26
EUR,1.0,2012-01-26
MXN,16.99,2012-01-26
PEN,3.53,2012-01-26
PYG,6145.33,2012-01-26
USD,1.31,2012-01-26
UYU,25.66,2012-01-26
VEF,5.64,2012-01-26
ARS,5.72,2012-01-27
BRL,2.3,2012-01-27
CLP,641.65,2012-01-27
COP,2388.08,2012-01-27
CRC,668.08,2012-01-27
DOP,51.22,2012-01-27
EUR,1.0,2012-01-27
MXN,17.06,2012-01-27
PEN,3.55,2012-01-27
PYG,6202.05,2012-01-27
USD,1.32,2012-01-27
UYU,25.67,2012-01-27
VEF,5.66,2012-01-27
ARS,5.71,2012-01-28
BRL,2.3,2012-01-28
CLP,640.85,2012-01-28
COP,2385.93,2012-01-28
CRC,667.39,2012-01-28
DOP,51.17,2012-01-28
EUR,1.0,2012-01-28
MXN,17.04,2012-01-28
PEN,3.55,2012-01-28
PYG,6195.63,2012-01-28
USD,1.32,2012-01-28
UYU,25.69,2012-01-28
VEF,5.66,2012-01-28
ARS,5.71,2012-01-29
BRL,2.3,2012-01-29
CLP,640.85,2012-01-29
COP,2385.93,2012-01-29
CRC,667.39,2012-01-29
DOP,51.17,2012-01-29
EUR,1.0,2012-01-29
MXN,17.04,2012-01-29
PEN,3.55,2012-01-29
PYG,6195.63,2012-01-29
USD,1.32,2012-01-29
UYU,25.69,2012-01-29
VEF,5.66,2012-01-29
ARS,5.69,2012-01-30
BRL,2.3,2012-01-30
CLP,639.84,2012-01-30
COP,2376.86,2012-01-30
CRC,662.22,2012-01-30
DOP,50.88,2012-01-30
EUR,1.0,2012-01-30
MXN,17.04,2012-01-30
PEN,3.53,2012-01-30
PYG,6191.64,2012-01-30
USD,1.31,2012-01-30
UYU,25.61,2012-01-30
VEF,5.63,2012-01-30
ARS,5.68,2012-01-31
BRL,2.28,2012-01-31
CLP,641.62,2012-01-31
COP,2365.4,2012-01-31
CRC,662.74,2012-01-31
DOP,50.84,2012-01-31
EUR,1.0,2012-01-31
MXN,16.99,2012-01-31
PEN,3.52,2012-01-31
PYG,6190.08,2012-01-31
USD,1.31,2012-01-31
UYU,25.59,2012-01-31
VEF,5.62,2012-01-31
ARS,5.71,2012-02-01
BRL,2.29,2012-02-01
CLP,642.87,2012-02-01
COP,2370.26,2012-02-01
CRC,669.7,2012-02-01
DOP,51.15,2012-02-01
EUR,1.0,2012-02-01
MXN,17.04,2012-02-01
PEN,3.54,2012-02-01
PYG,6223.89,2012-02-01
USD,1.32,2012-02-01
UYU,25.75,2012-02-01
VEF,5.66,2012-02-01
ARS,5.7,2012-02-02
BRL,2.27,2012-02-02
CLP,634.97,2012-02-02
COP,2362.59,2012-02-02
CRC,675.06,2012-02-02
DOP,51.03,2012-02-02
EUR,1.0,2012-02-02
MXN,16.9,2012-02-02
PEN,3.54,2012-02-02
PYG,6171.37,2012-02-02
USD,1.31,2012-02-02
UYU,25.56,2012-02-02
VEF,5.64,2012-02-02
ARS,5.69,2012-02-03
BRL,2.26,2012-02-03
CLP,628.17,2012-02-03
COP,2345.94,2012-02-03
CRC,669.65,2012-02-03
DOP,50.9,2012-02-03
EUR,1.0,2012-02-03
MXN,16.77,2012-02-03
PEN,3.53,2012-02-03
PYG,6102.23,2012-02-03
USD,1.31,2012-02-03
UYU,25.48,2012-02-03
VEF,5.64,2012-02-03
ARS,5.7,2012-02-04
BRL,2.27,2012-02-04
CLP,629.25,2012-02-04
COP,2349.97,2012-02-04
CRC,670.8,2012-02-04
DOP,50.99,2012-02-04
EUR,1.0,2012-02-04
MXN,16.78,2012-02-04
PEN,3.54,2012-02-04
PYG,6112.7,2012-02-04
USD,1.32,2012-02-04
UYU,25.53,2012-02-04
VEF,5.66,2012-02-04
ARS,5.7,2012-02-05
BRL,2.27,2012-02-05
CLP,629.25,2012-02-05
COP,2349.97,2012-02-05
CRC,670.8,2012-02-05
DOP,50.99,2012-02-05
EUR,1.0,2012-02-05
MXN,16.78,2012-02-05
PEN,3.54,2012-02-05
PYG,6112.7,2012-02-05
USD,1.32,2012-02-05
UYU,25.53,2012-02-05
VEF,5.66,2012-02-05
ARS,5.68,2012-02-06
BRL,2.26,2012-02-06
CLP,630.76,2012-02-06
COP,2345.93,2012-02-06
CRC,665.71,2012-02-06
DOP,50.85,2012-02-06
EUR,1.0,2012-02-06
MXN,16.63,2012-02-06
PEN,3.53,2012-02-06
PYG,5822.83,2012-02-06
USD,1.31,2012-02-06
UYU,25.44,2012-02-06
VEF,5.63,2012-02-06
ARS,5.73,2012-02-07
BRL,2.28,2012-02-07
CLP,632.97,2012-02-07
COP,2357.65,2012-02-07
CRC,671.2,2012-02-07
DOP,51.21,2012-02-07
EUR,1.0,2012-02-07
MXN,16.76,2012-02-07
PEN,3.56,2012-02-07
PYG,5931.22,2012-02-07
USD,1.32,2012-02-07
UYU,25.66,2012-02-07
VEF,5.68,2012-02-07
ARS,5.75,2012-02-08
BRL,2.28,2012-02-08
CLP,633.5,2012-02-08
COP,2358.14,2012-02-08
CRC,672.94,2012-02-08
DOP,51.51,2012-02-08
EUR,1.0,2012-02-08
MXN,16.82,2012-02-08
PEN,3.56,2012-02-08
PYG,5887.03,2012-02-08
USD,1.33,2012-02-08
UYU,25.75,2012-02-08
VEF,5.69,2012-02-08
ARS,5.77,2012-02-09
BRL,2.29,2012-02-09
CLP,634.95,2012-02-09
COP,2360.67,2012-02-09
CRC,676.78,2012-02-09
